Hidden_dim: 4, Validation Loss: 1.4290, Validation Accuracy: 60.85%
Hidden_dim: 5, Validation Loss: 1.0547, Validation Accuracy: 70.98%
Hidden_dim: 6, Validation Loss: 0.9845, Validation Accuracy: 72.42%
Hidden_dim: 7, Validation Loss: 0.2909, Validation Accuracy: 91.31%
Hidden_dim: 8, Validation Loss: 0.2174, Validation Accuracy: 93.59%
Hidden_dim: 9, Validation Loss: 0.3409, Validation Accuracy: 89.95%
Hidden_dim: 10, Validation Loss: 0.2725, Validation Accuracy: 91.37%
Hidden_dim: 11, Validation Loss: 0.2486, Validation Accuracy: 92.92%
Hidden_dim: 12, Validation Loss: 0.1967, Validation Accuracy: 94.17%
Hidden_dim: 13, Validation Loss: 0.1894, Validation Accuracy: 94.27%
Hidden_dim: 14, Validation Loss: 0.2270, Validation Accuracy: 93.36%
Hidden_dim: 15, Validation Loss: 0.1856, Validation Accuracy: 94.59%
Hidden_dim: 16, Validation Loss: 0.2015, Validation Accuracy: 94.30%
Hidden_dim: 17, Validation Loss: 0.1769, Validation Accuracy: 94.80%
Hidden_dim: 18, Validation Loss: 0.1825, Validation Accuracy: 94.71%
Hidden_dim: 19, Validation Loss: 0.1751, Validation Accuracy: 94.89%
Hidden_dim: 20, Validation Loss: 0.1867, Validation Accuracy: 94.72%
Hidden_dim: 21, Validation Loss: 0.1895, Validation Accuracy: 94.50%
Hidden_dim: 22, Validation Loss: 0.1827, Validation Accuracy: 94.81%
Hidden_dim: 23, Validation Loss: 0.1945, Validation Accuracy: 94.37%
Hidden_dim: 24, Validation Loss: 0.1689, Validation Accuracy: 94.88%
Hidden_dim: 25, Validation Loss: 0.1736, Validation Accuracy: 94.92%
Hidden_dim: 26, Validation Loss: 0.1953, Validation Accuracy: 94.18%
Hidden_dim: 27, Validation Loss: 0.1883, Validation Accuracy: 94.59%
Hidden_dim: 28, Validation Loss: 0.1845, Validation Accuracy: 94.67%
Hidden_dim: 29, Validation Loss: 0.2140, Validation Accuracy: 94.04%
Hidden_dim: 30, Validation Loss: 0.1817, Validation Accuracy: 94.73%
Hidden_dim: 31, Validation Loss: 0.1744, Validation Accuracy: 94.96%
Hidden_dim: 32, Validation Loss: 0.1858, Validation Accuracy: 94.43%
Hidden_dim: 33, Validation Loss: 0.1866, Validation Accuracy: 94.78%
Hidden_dim: 34, Validation Loss: 0.1861, Validation Accuracy: 94.46%
Hidden_dim: 35, Validation Loss: 0.1685, Validation Accuracy: 95.04%
Hidden_dim: 36, Validation Loss: 0.1711, Validation Accuracy: 94.99%
Hidden_dim: 37, Validation Loss: 0.1733, Validation Accuracy: 95.03%
Hidden_dim: 38, Validation Loss: 0.1895, Validation Accuracy: 94.37%
Hidden_dim: 39, Validation Loss: 0.1790, Validation Accuracy: 94.68%
Hidden_dim: 40, Validation Loss: 0.1702, Validation Accuracy: 94.93%
Hidden_dim: 41, Validation Loss: 0.1857, Validation Accuracy: 94.47%
Hidden_dim: 42, Validation Loss: 0.1702, Validation Accuracy: 94.88%
Hidden_dim: 43, Validation Loss: 0.1814, Validation Accuracy: 94.75%
Hidden_dim: 44, Validation Loss: 0.1982, Validation Accuracy: 94.50%
Hidden_dim: 45, Validation Loss: 0.1774, Validation Accuracy: 94.93%
Hidden_dim: 46, Validation Loss: 0.1801, Validation Accuracy: 95.00%
Hidden_dim: 47, Validation Loss: 0.1736, Validation Accuracy: 94.89%
