Hidden_dim: 16, Validation Loss: 0.5090, Validation Accuracy: 88.24%
Hidden_dim: 17, Validation Loss: 0.6210, Validation Accuracy: 85.78%
Hidden_dim: 18, Validation Loss: 0.4013, Validation Accuracy: 89.99%
Hidden_dim: 19, Validation Loss: 0.4804, Validation Accuracy: 89.18%
Hidden_dim: 20, Validation Loss: 0.4402, Validation Accuracy: 90.30%
Hidden_dim: 21, Validation Loss: 0.4344, Validation Accuracy: 90.43%
Hidden_dim: 22, Validation Loss: 0.4337, Validation Accuracy: 90.45%
Hidden_dim: 23, Validation Loss: 0.5850, Validation Accuracy: 89.05%
Hidden_dim: 24, Validation Loss: 0.3913, Validation Accuracy: 90.84%
Hidden_dim: 25, Validation Loss: 0.4259, Validation Accuracy: 90.61%
Hidden_dim: 26, Validation Loss: 0.4241, Validation Accuracy: 90.93%
Hidden_dim: 27, Validation Loss: 0.4169, Validation Accuracy: 91.22%
Hidden_dim: 28, Validation Loss: 0.4426, Validation Accuracy: 90.68%
Hidden_dim: 29, Validation Loss: 0.4281, Validation Accuracy: 90.77%
Hidden_dim: 30, Validation Loss: 0.4319, Validation Accuracy: 90.92%
Hidden_dim: 31, Validation Loss: 0.4168, Validation Accuracy: 91.01%
Hidden_dim: 32, Validation Loss: 0.4358, Validation Accuracy: 90.84%
Hidden_dim: 33, Validation Loss: 0.4087, Validation Accuracy: 91.13%
Hidden_dim: 34, Validation Loss: 0.4137, Validation Accuracy: 91.08%
Hidden_dim: 35, Validation Loss: 0.4178, Validation Accuracy: 91.18%
Hidden_dim: 36, Validation Loss: 0.4061, Validation Accuracy: 90.91%
Hidden_dim: 37, Validation Loss: 0.4170, Validation Accuracy: 91.36%
Hidden_dim: 38, Validation Loss: 0.4165, Validation Accuracy: 91.30%
Hidden_dim: 39, Validation Loss: 0.4099, Validation Accuracy: 91.29%
Hidden_dim: 40, Validation Loss: 0.4269, Validation Accuracy: 91.17%
Hidden_dim: 41, Validation Loss: 0.4184, Validation Accuracy: 91.27%
Hidden_dim: 42, Validation Loss: 0.4126, Validation Accuracy: 91.37%
Hidden_dim: 43, Validation Loss: 0.4309, Validation Accuracy: 91.20%
Hidden_dim: 44, Validation Loss: 0.4555, Validation Accuracy: 90.88%
Hidden_dim: 45, Validation Loss: 0.4101, Validation Accuracy: 91.08%
Hidden_dim: 46, Validation Loss: 0.4248, Validation Accuracy: 91.02%
Hidden_dim: 47, Validation Loss: 0.4248, Validation Accuracy: 91.26%
Hidden_dim: 48, Validation Loss: 0.4273, Validation Accuracy: 91.23%
Hidden_dim: 49, Validation Loss: 0.4054, Validation Accuracy: 91.09%
Hidden_dim: 50, Validation Loss: 0.4047, Validation Accuracy: 91.28%
Hidden_dim: 51, Validation Loss: 0.4225, Validation Accuracy: 91.37%
Hidden_dim: 52, Validation Loss: 0.4140, Validation Accuracy: 91.30%
Hidden_dim: 53, Validation Loss: 0.4105, Validation Accuracy: 91.34%
Hidden_dim: 54, Validation Loss: 0.4334, Validation Accuracy: 91.18%
Hidden_dim: 55, Validation Loss: 0.4240, Validation Accuracy: 91.12%
Hidden_dim: 56, Validation Loss: 0.4096, Validation Accuracy: 91.18%
Hidden_dim: 57, Validation Loss: 0.4279, Validation Accuracy: 91.10%
Hidden_dim: 58, Validation Loss: 0.4148, Validation Accuracy: 91.20%
Hidden_dim: 59, Validation Loss: 0.4242, Validation Accuracy: 91.30%
Hidden_dim: 60, Validation Loss: 0.4115, Validation Accuracy: 91.49%
Hidden_dim: 61, Validation Loss: 0.4178, Validation Accuracy: 91.15%
Hidden_dim: 62, Validation Loss: 0.4183, Validation Accuracy: 91.32%
Hidden_dim: 63, Validation Loss: 0.4086, Validation Accuracy: 91.48%
Hidden_dim: 64, Validation Loss: 0.4185, Validation Accuracy: 91.00%
