Hidden_dim: 16, Validation Loss: 1.8079, Validation Accuracy: 75.60%
Hidden_dim: 17, Validation Loss: 1.8079, Validation Accuracy: 75.51%
Hidden_dim: 18, Validation Loss: 1.8078, Validation Accuracy: 75.84%
Hidden_dim: 19, Validation Loss: 1.8079, Validation Accuracy: 75.41%
Hidden_dim: 20, Validation Loss: 1.8080, Validation Accuracy: 75.06%
Hidden_dim: 21, Validation Loss: 1.8077, Validation Accuracy: 75.61%
Hidden_dim: 22, Validation Loss: 1.8077, Validation Accuracy: 75.68%
Hidden_dim: 23, Validation Loss: 1.8080, Validation Accuracy: 75.32%
Hidden_dim: 24, Validation Loss: 1.8070, Validation Accuracy: 76.30%
Hidden_dim: 25, Validation Loss: 1.8078, Validation Accuracy: 75.62%
Hidden_dim: 26, Validation Loss: 1.8084, Validation Accuracy: 75.06%
Hidden_dim: 27, Validation Loss: 1.8078, Validation Accuracy: 75.65%
Hidden_dim: 28, Validation Loss: 1.8073, Validation Accuracy: 75.96%
Hidden_dim: 29, Validation Loss: 1.8083, Validation Accuracy: 75.11%
Hidden_dim: 30, Validation Loss: 1.8072, Validation Accuracy: 76.20%
Hidden_dim: 31, Validation Loss: 1.8081, Validation Accuracy: 74.91%
Hidden_dim: 32, Validation Loss: 1.8083, Validation Accuracy: 75.35%
Hidden_dim: 33, Validation Loss: 1.8081, Validation Accuracy: 75.43%
Hidden_dim: 34, Validation Loss: 1.8078, Validation Accuracy: 75.60%
Hidden_dim: 35, Validation Loss: 1.8073, Validation Accuracy: 76.05%
Hidden_dim: 36, Validation Loss: 1.8083, Validation Accuracy: 75.13%
Hidden_dim: 37, Validation Loss: 1.8079, Validation Accuracy: 75.41%
Hidden_dim: 38, Validation Loss: 1.8082, Validation Accuracy: 75.17%
Hidden_dim: 39, Validation Loss: 1.8077, Validation Accuracy: 75.61%
Hidden_dim: 40, Validation Loss: 1.8078, Validation Accuracy: 75.37%
Hidden_dim: 41, Validation Loss: 1.8078, Validation Accuracy: 75.66%
Hidden_dim: 42, Validation Loss: 1.8078, Validation Accuracy: 75.62%
Hidden_dim: 43, Validation Loss: 1.8071, Validation Accuracy: 76.39%
Hidden_dim: 44, Validation Loss: 1.8073, Validation Accuracy: 76.00%
Hidden_dim: 45, Validation Loss: 1.8082, Validation Accuracy: 75.27%
Hidden_dim: 46, Validation Loss: 1.8082, Validation Accuracy: 75.08%
Hidden_dim: 47, Validation Loss: 1.8074, Validation Accuracy: 75.84%
Hidden_dim: 48, Validation Loss: 1.8080, Validation Accuracy: 75.47%
Hidden_dim: 49, Validation Loss: 1.8083, Validation Accuracy: 74.92%
Hidden_dim: 50, Validation Loss: 1.8088, Validation Accuracy: 74.82%
Hidden_dim: 51, Validation Loss: 1.8086, Validation Accuracy: 75.17%
Hidden_dim: 52, Validation Loss: 1.8077, Validation Accuracy: 75.49%
Hidden_dim: 53, Validation Loss: 1.8074, Validation Accuracy: 75.83%
Hidden_dim: 54, Validation Loss: 1.8080, Validation Accuracy: 75.18%
Hidden_dim: 55, Validation Loss: 1.8076, Validation Accuracy: 75.66%
Hidden_dim: 56, Validation Loss: 1.8072, Validation Accuracy: 75.83%
Hidden_dim: 57, Validation Loss: 1.8090, Validation Accuracy: 74.60%
Hidden_dim: 58, Validation Loss: 1.8078, Validation Accuracy: 75.63%
Hidden_dim: 59, Validation Loss: 1.8077, Validation Accuracy: 75.87%
Hidden_dim: 60, Validation Loss: 1.8076, Validation Accuracy: 75.66%
Hidden_dim: 61, Validation Loss: 1.8084, Validation Accuracy: 75.10%
Hidden_dim: 62, Validation Loss: 1.8082, Validation Accuracy: 75.43%
Hidden_dim: 63, Validation Loss: 1.8082, Validation Accuracy: 75.10%
Hidden_dim: 64, Validation Loss: 1.8076, Validation Accuracy: 75.73%
