Hidden_dim: 16, Validation Loss: 0.5833, Validation Accuracy: 86.04%
Hidden_dim: 17, Validation Loss: 0.4120, Validation Accuracy: 87.45%
Hidden_dim: 18, Validation Loss: 0.5548, Validation Accuracy: 86.53%
Hidden_dim: 19, Validation Loss: 0.5272, Validation Accuracy: 87.68%
Hidden_dim: 20, Validation Loss: 0.4715, Validation Accuracy: 88.73%
Hidden_dim: 21, Validation Loss: 0.4964, Validation Accuracy: 89.06%
Hidden_dim: 22, Validation Loss: 0.5281, Validation Accuracy: 88.59%
Hidden_dim: 23, Validation Loss: 0.5110, Validation Accuracy: 89.60%
Hidden_dim: 24, Validation Loss: 0.4651, Validation Accuracy: 90.54%
Hidden_dim: 25, Validation Loss: 0.5091, Validation Accuracy: 89.84%
Hidden_dim: 26, Validation Loss: 0.5510, Validation Accuracy: 88.93%
Hidden_dim: 27, Validation Loss: 0.5131, Validation Accuracy: 89.54%
Hidden_dim: 28, Validation Loss: 0.5564, Validation Accuracy: 89.60%
Hidden_dim: 29, Validation Loss: 0.6313, Validation Accuracy: 88.32%
Hidden_dim: 30, Validation Loss: 0.4967, Validation Accuracy: 90.45%
Hidden_dim: 31, Validation Loss: 0.5196, Validation Accuracy: 89.41%
Hidden_dim: 32, Validation Loss: 0.5462, Validation Accuracy: 89.45%
Hidden_dim: 33, Validation Loss: 0.4485, Validation Accuracy: 90.41%
Hidden_dim: 34, Validation Loss: 0.5846, Validation Accuracy: 88.17%
Hidden_dim: 35, Validation Loss: 0.4792, Validation Accuracy: 90.59%
Hidden_dim: 36, Validation Loss: 0.4853, Validation Accuracy: 90.52%
Hidden_dim: 37, Validation Loss: 0.5153, Validation Accuracy: 89.24%
Hidden_dim: 38, Validation Loss: 0.4686, Validation Accuracy: 90.72%
Hidden_dim: 39, Validation Loss: 0.4530, Validation Accuracy: 91.07%
Hidden_dim: 40, Validation Loss: 0.5330, Validation Accuracy: 89.59%
Hidden_dim: 41, Validation Loss: 0.4433, Validation Accuracy: 90.97%
Hidden_dim: 42, Validation Loss: 0.4653, Validation Accuracy: 90.69%
Hidden_dim: 43, Validation Loss: 0.5036, Validation Accuracy: 89.73%
Hidden_dim: 44, Validation Loss: 0.5226, Validation Accuracy: 90.12%
Hidden_dim: 45, Validation Loss: 0.4604, Validation Accuracy: 90.66%
Hidden_dim: 46, Validation Loss: 0.4825, Validation Accuracy: 90.43%
Hidden_dim: 47, Validation Loss: 0.4856, Validation Accuracy: 90.30%
Hidden_dim: 48, Validation Loss: 0.4545, Validation Accuracy: 90.61%
Hidden_dim: 49, Validation Loss: 0.4398, Validation Accuracy: 90.98%
Hidden_dim: 50, Validation Loss: 0.4495, Validation Accuracy: 91.16%
Hidden_dim: 51, Validation Loss: 0.4770, Validation Accuracy: 90.78%
Hidden_dim: 52, Validation Loss: 0.5386, Validation Accuracy: 89.86%
Hidden_dim: 53, Validation Loss: 0.4338, Validation Accuracy: 91.07%
Hidden_dim: 54, Validation Loss: 0.4758, Validation Accuracy: 90.49%
Hidden_dim: 55, Validation Loss: 0.5492, Validation Accuracy: 89.85%
Hidden_dim: 56, Validation Loss: 0.5069, Validation Accuracy: 90.31%
Hidden_dim: 57, Validation Loss: 0.4919, Validation Accuracy: 90.29%
Hidden_dim: 58, Validation Loss: 0.4860, Validation Accuracy: 90.50%
Hidden_dim: 59, Validation Loss: 0.4830, Validation Accuracy: 90.38%
Hidden_dim: 60, Validation Loss: 0.4793, Validation Accuracy: 90.40%
Hidden_dim: 61, Validation Loss: 0.4551, Validation Accuracy: 90.76%
Hidden_dim: 62, Validation Loss: 0.4838, Validation Accuracy: 90.39%
Hidden_dim: 63, Validation Loss: 0.4391, Validation Accuracy: 91.03%
Hidden_dim: 64, Validation Loss: 0.4512, Validation Accuracy: 90.84%
