Hidden_dim: 16, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 17, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 18, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 19, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 20, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 21, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 22, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 23, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 24, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 25, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 26, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 27, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 28, Validation Loss: 1.8076, Validation Accuracy: 75.87%
Hidden_dim: 29, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 30, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 31, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 32, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 33, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 34, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 35, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 36, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 37, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 38, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 39, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 40, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 41, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 42, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 43, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 44, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 45, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 46, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 47, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 48, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 49, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 50, Validation Loss: 1.8076, Validation Accuracy: 75.87%
Hidden_dim: 51, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 52, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 53, Validation Loss: 1.8076, Validation Accuracy: 75.87%
Hidden_dim: 54, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 55, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 56, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 57, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 58, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 59, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 60, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 61, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 62, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 63, Validation Loss: 1.8076, Validation Accuracy: 75.86%
Hidden_dim: 64, Validation Loss: 1.8076, Validation Accuracy: 75.86%
