Hidden_dim: 12, Validation Loss: 2.9700, Validation Accuracy: 48.70%
Hidden_dim: 13, Validation Loss: 4.2841, Validation Accuracy: 49.40%
Hidden_dim: 14, Validation Loss: 4.7561, Validation Accuracy: 41.88%
Hidden_dim: 15, Validation Loss: 4.1062, Validation Accuracy: 52.39%
Hidden_dim: 16, Validation Loss: 3.3669, Validation Accuracy: 56.18%
Hidden_dim: 17, Validation Loss: 6.1272, Validation Accuracy: 43.23%
Hidden_dim: 18, Validation Loss: 3.3176, Validation Accuracy: 57.34%
Hidden_dim: 19, Validation Loss: 5.6694, Validation Accuracy: 45.55%
Hidden_dim: 20, Validation Loss: 5.6232, Validation Accuracy: 44.86%
Hidden_dim: 21, Validation Loss: 3.3143, Validation Accuracy: 57.75%
Hidden_dim: 22, Validation Loss: 4.7739, Validation Accuracy: 49.98%
Hidden_dim: 23, Validation Loss: 5.6863, Validation Accuracy: 44.25%
Hidden_dim: 24, Validation Loss: 3.4823, Validation Accuracy: 56.34%
Hidden_dim: 25, Validation Loss: 4.0353, Validation Accuracy: 52.71%
Hidden_dim: 26, Validation Loss: 5.1853, Validation Accuracy: 48.87%
Hidden_dim: 27, Validation Loss: 3.8583, Validation Accuracy: 53.35%
Hidden_dim: 28, Validation Loss: 3.3680, Validation Accuracy: 57.64%
Hidden_dim: 29, Validation Loss: 3.4700, Validation Accuracy: 57.98%
Hidden_dim: 30, Validation Loss: 3.0944, Validation Accuracy: 58.51%
Hidden_dim: 31, Validation Loss: 3.5711, Validation Accuracy: 55.32%
Hidden_dim: 32, Validation Loss: 2.8505, Validation Accuracy: 61.00%
Hidden_dim: 33, Validation Loss: 4.0370, Validation Accuracy: 53.65%
Hidden_dim: 34, Validation Loss: 3.1734, Validation Accuracy: 53.14%
Hidden_dim: 35, Validation Loss: 3.5543, Validation Accuracy: 54.71%
Hidden_dim: 36, Validation Loss: 5.1553, Validation Accuracy: 45.42%
Hidden_dim: 37, Validation Loss: 5.1774, Validation Accuracy: 45.47%
Hidden_dim: 38, Validation Loss: 3.3209, Validation Accuracy: 56.87%
Hidden_dim: 39, Validation Loss: 4.1098, Validation Accuracy: 52.70%
Hidden_dim: 40, Validation Loss: 4.5846, Validation Accuracy: 50.80%
Hidden_dim: 41, Validation Loss: 4.8872, Validation Accuracy: 47.78%
Hidden_dim: 42, Validation Loss: 4.4475, Validation Accuracy: 51.16%
Hidden_dim: 43, Validation Loss: 4.1095, Validation Accuracy: 53.05%
Hidden_dim: 44, Validation Loss: 3.1534, Validation Accuracy: 59.22%
Hidden_dim: 45, Validation Loss: 3.3567, Validation Accuracy: 57.79%
Hidden_dim: 46, Validation Loss: 3.6941, Validation Accuracy: 56.07%
Hidden_dim: 47, Validation Loss: 2.4295, Validation Accuracy: 63.72%
Hidden_dim: 48, Validation Loss: 1.6428, Validation Accuracy: 69.12%
