Hidden_dim: 12, Validation Loss: 7.1693, Validation Accuracy: 35.08%
Hidden_dim: 13, Validation Loss: 3.7224, Validation Accuracy: 53.97%
Hidden_dim: 14, Validation Loss: 2.6535, Validation Accuracy: 59.89%
Hidden_dim: 15, Validation Loss: 3.7844, Validation Accuracy: 51.91%
Hidden_dim: 16, Validation Loss: 2.1065, Validation Accuracy: 60.22%
Hidden_dim: 17, Validation Loss: 3.1964, Validation Accuracy: 57.56%
Hidden_dim: 18, Validation Loss: 3.9566, Validation Accuracy: 58.92%
Hidden_dim: 19, Validation Loss: 2.7381, Validation Accuracy: 60.60%
Hidden_dim: 20, Validation Loss: 2.5608, Validation Accuracy: 64.36%
Hidden_dim: 21, Validation Loss: 2.2480, Validation Accuracy: 68.42%
Hidden_dim: 22, Validation Loss: 1.8046, Validation Accuracy: 72.06%
Hidden_dim: 23, Validation Loss: 2.2647, Validation Accuracy: 68.77%
Hidden_dim: 24, Validation Loss: 2.5386, Validation Accuracy: 68.50%
Hidden_dim: 25, Validation Loss: 2.2089, Validation Accuracy: 70.12%
Hidden_dim: 26, Validation Loss: 2.3397, Validation Accuracy: 68.81%
Hidden_dim: 27, Validation Loss: 2.4378, Validation Accuracy: 68.04%
Hidden_dim: 28, Validation Loss: 2.0257, Validation Accuracy: 71.41%
Hidden_dim: 29, Validation Loss: 2.2043, Validation Accuracy: 71.08%
Hidden_dim: 30, Validation Loss: 2.7068, Validation Accuracy: 66.78%
Hidden_dim: 31, Validation Loss: 2.1192, Validation Accuracy: 72.18%
Hidden_dim: 32, Validation Loss: 1.6797, Validation Accuracy: 74.50%
Hidden_dim: 33, Validation Loss: 2.0893, Validation Accuracy: 71.89%
Hidden_dim: 34, Validation Loss: 2.2199, Validation Accuracy: 70.10%
Hidden_dim: 35, Validation Loss: 2.4368, Validation Accuracy: 68.68%
Hidden_dim: 36, Validation Loss: 1.8993, Validation Accuracy: 71.17%
Hidden_dim: 37, Validation Loss: 2.4390, Validation Accuracy: 67.76%
Hidden_dim: 38, Validation Loss: 2.2991, Validation Accuracy: 68.40%
Hidden_dim: 39, Validation Loss: 2.1093, Validation Accuracy: 69.83%
Hidden_dim: 40, Validation Loss: 1.7937, Validation Accuracy: 71.82%
Hidden_dim: 41, Validation Loss: 2.3721, Validation Accuracy: 68.18%
Hidden_dim: 42, Validation Loss: 2.1384, Validation Accuracy: 69.98%
Hidden_dim: 43, Validation Loss: 1.9887, Validation Accuracy: 70.84%
Hidden_dim: 44, Validation Loss: 2.0718, Validation Accuracy: 70.69%
Hidden_dim: 45, Validation Loss: 2.0393, Validation Accuracy: 70.93%
Hidden_dim: 46, Validation Loss: 2.0351, Validation Accuracy: 70.99%
Hidden_dim: 47, Validation Loss: 1.4930, Validation Accuracy: 74.99%
Hidden_dim: 48, Validation Loss: 1.8338, Validation Accuracy: 71.43%
