Hidden_dim: 12, Validation Loss: 2.8902, Validation Accuracy: 56.50%
Hidden_dim: 13, Validation Loss: 2.6432, Validation Accuracy: 59.53%
Hidden_dim: 14, Validation Loss: 3.0661, Validation Accuracy: 52.86%
Hidden_dim: 15, Validation Loss: 2.5686, Validation Accuracy: 56.21%
Hidden_dim: 16, Validation Loss: 2.6172, Validation Accuracy: 55.57%
Hidden_dim: 17, Validation Loss: 1.6865, Validation Accuracy: 58.88%
Hidden_dim: 18, Validation Loss: 1.3804, Validation Accuracy: 63.59%
Hidden_dim: 19, Validation Loss: 2.2127, Validation Accuracy: 55.69%
Hidden_dim: 20, Validation Loss: 2.0881, Validation Accuracy: 56.91%
Hidden_dim: 21, Validation Loss: 1.9658, Validation Accuracy: 58.25%
Hidden_dim: 22, Validation Loss: 2.0205, Validation Accuracy: 57.50%
Hidden_dim: 23, Validation Loss: 2.4373, Validation Accuracy: 56.59%
Hidden_dim: 24, Validation Loss: 2.9312, Validation Accuracy: 55.75%
Hidden_dim: 25, Validation Loss: 2.9585, Validation Accuracy: 55.56%
Hidden_dim: 26, Validation Loss: 2.3196, Validation Accuracy: 55.63%
Hidden_dim: 27, Validation Loss: 2.3129, Validation Accuracy: 58.12%
Hidden_dim: 28, Validation Loss: 3.2672, Validation Accuracy: 55.48%
Hidden_dim: 29, Validation Loss: 2.8817, Validation Accuracy: 56.30%
Hidden_dim: 30, Validation Loss: 2.2816, Validation Accuracy: 55.60%
Hidden_dim: 31, Validation Loss: 2.2953, Validation Accuracy: 55.11%
Hidden_dim: 32, Validation Loss: 2.8733, Validation Accuracy: 54.01%
Hidden_dim: 33, Validation Loss: 1.6042, Validation Accuracy: 59.78%
Hidden_dim: 34, Validation Loss: 1.9696, Validation Accuracy: 57.09%
Hidden_dim: 35, Validation Loss: 1.9005, Validation Accuracy: 57.50%
Hidden_dim: 36, Validation Loss: 2.3305, Validation Accuracy: 56.51%
Hidden_dim: 37, Validation Loss: 1.9338, Validation Accuracy: 57.10%
Hidden_dim: 38, Validation Loss: 2.0814, Validation Accuracy: 56.71%
Hidden_dim: 39, Validation Loss: 2.0129, Validation Accuracy: 56.77%
Hidden_dim: 40, Validation Loss: 1.5789, Validation Accuracy: 60.54%
Hidden_dim: 41, Validation Loss: 1.6989, Validation Accuracy: 59.32%
Hidden_dim: 42, Validation Loss: 2.1001, Validation Accuracy: 56.69%
Hidden_dim: 43, Validation Loss: 2.2017, Validation Accuracy: 55.75%
Hidden_dim: 44, Validation Loss: 2.1842, Validation Accuracy: 56.18%
Hidden_dim: 45, Validation Loss: 1.7203, Validation Accuracy: 58.23%
Hidden_dim: 46, Validation Loss: 1.6122, Validation Accuracy: 59.98%
Hidden_dim: 47, Validation Loss: 1.4883, Validation Accuracy: 61.98%
Hidden_dim: 48, Validation Loss: 1.3382, Validation Accuracy: 65.33%
