Hidden_dim: 12, Validation Loss: 1.5268, Validation Accuracy: 68.03%
Hidden_dim: 13, Validation Loss: 1.1022, Validation Accuracy: 75.09%
Hidden_dim: 14, Validation Loss: 2.4246, Validation Accuracy: 61.88%
Hidden_dim: 15, Validation Loss: 2.2394, Validation Accuracy: 57.79%
Hidden_dim: 16, Validation Loss: 2.5734, Validation Accuracy: 59.98%
Hidden_dim: 17, Validation Loss: 2.2585, Validation Accuracy: 58.82%
Hidden_dim: 18, Validation Loss: 1.3180, Validation Accuracy: 68.73%
Hidden_dim: 19, Validation Loss: 2.2640, Validation Accuracy: 58.25%
Hidden_dim: 20, Validation Loss: 2.1712, Validation Accuracy: 60.61%
Hidden_dim: 21, Validation Loss: 1.6524, Validation Accuracy: 66.97%
Hidden_dim: 22, Validation Loss: 2.9380, Validation Accuracy: 57.14%
Hidden_dim: 23, Validation Loss: 1.5818, Validation Accuracy: 67.36%
Hidden_dim: 24, Validation Loss: 1.3177, Validation Accuracy: 69.20%
Hidden_dim: 25, Validation Loss: 1.0975, Validation Accuracy: 73.75%
Hidden_dim: 26, Validation Loss: 2.1997, Validation Accuracy: 62.27%
Hidden_dim: 27, Validation Loss: 1.1249, Validation Accuracy: 72.45%
Hidden_dim: 28, Validation Loss: 1.6661, Validation Accuracy: 66.37%
Hidden_dim: 29, Validation Loss: 1.4132, Validation Accuracy: 70.64%
Hidden_dim: 30, Validation Loss: 2.7309, Validation Accuracy: 54.73%
Hidden_dim: 31, Validation Loss: 1.1724, Validation Accuracy: 72.08%
Hidden_dim: 32, Validation Loss: 1.3476, Validation Accuracy: 71.91%
Hidden_dim: 33, Validation Loss: 2.7316, Validation Accuracy: 52.91%
Hidden_dim: 34, Validation Loss: 1.5454, Validation Accuracy: 67.19%
Hidden_dim: 35, Validation Loss: 1.2252, Validation Accuracy: 71.28%
Hidden_dim: 36, Validation Loss: 2.1436, Validation Accuracy: 61.58%
Hidden_dim: 37, Validation Loss: 3.8370, Validation Accuracy: 49.54%
Hidden_dim: 38, Validation Loss: 1.7674, Validation Accuracy: 64.34%
Hidden_dim: 39, Validation Loss: 0.8015, Validation Accuracy: 78.30%
Hidden_dim: 40, Validation Loss: 1.1916, Validation Accuracy: 72.51%
Hidden_dim: 41, Validation Loss: 0.8202, Validation Accuracy: 78.33%
Hidden_dim: 42, Validation Loss: 0.6209, Validation Accuracy: 82.79%
Hidden_dim: 43, Validation Loss: 1.2605, Validation Accuracy: 70.92%
Hidden_dim: 44, Validation Loss: 1.4203, Validation Accuracy: 68.76%
Hidden_dim: 45, Validation Loss: 1.5053, Validation Accuracy: 69.19%
Hidden_dim: 46, Validation Loss: 0.9529, Validation Accuracy: 75.40%
Hidden_dim: 47, Validation Loss: 1.1048, Validation Accuracy: 73.39%
Hidden_dim: 48, Validation Loss: 1.3078, Validation Accuracy: 68.16%
